timestamp,device,temp_c,temp_f,humid,ip_of_sensor
2026-05-08T16:48:24.378897,UPSTAIRS,22.5,72.5,60.2,10.0.0.108
2026-05-08T16:48:25.008776,BASEMENT,19.1,66.4,68.4,10.0.0.38
2026-05-08T16:48:25.637240,OUTSIDE,23.1,73.6,33.4,10.0.0.173
2026-05-08T16:51:46.178883,UPSTAIRS,22.5,72.5,60.3,10.0.0.108
2026-05-08T16:51:46.792554,BASEMENT,19.1,66.4,68.2,10.0.0.38
2026-05-08T16:51:47.405938,OUTSIDE,23.1,73.6,33.9,10.0.0.173
2026-05-08T17:21:48.043255,UPSTAIRS,22.6,72.7,60.3,10.0.0.108
2026-05-08T17:21:48.662674,BASEMENT,19.1,66.4,68.5,10.0.0.38
2026-05-08T17:21:49.293137,OUTSIDE,23.1,73.6,35.8,10.0.0.173
2026-05-08T17:51:49.895582,UPSTAIRS,22.5,72.5,60.3,10.0.0.108
2026-05-08T17:51:50.510488,BASEMENT,19.1,66.4,68.3,10.0.0.38
2026-05-08T17:51:51.130437,OUTSIDE,22.0,71.6,36.0,10.0.0.173
2026-05-08T18:21:51.764710,UPSTAIRS,22.4,72.3,60.3,10.0.0.108
2026-05-08T18:21:52.370649,BASEMENT,19.2,66.6,68.6,10.0.0.38
2026-05-08T18:21:52.993850,OUTSIDE,21.8,71.2,37.5,10.0.0.173
2026-05-08T18:51:53.632954,UPSTAIRS,22.4,72.3,60.5,10.0.0.108
2026-05-08T18:51:54.230560,BASEMENT,19.2,66.6,68.7,10.0.0.38
2026-05-08T18:51:54.846536,OUTSIDE,21.2,70.2,39.0,10.0.0.173
2026-05-08T19:21:55.470176,UPSTAIRS,22.4,72.3,60.6,10.0.0.108
2026-05-08T19:21:56.081737,BASEMENT,19.2,66.6,68.7,10.0.0.38
2026-05-08T19:21:56.698893,OUTSIDE,20.7,69.3,39.3,10.0.0.173
2026-05-08T19:51:57.322440,UPSTAIRS,22.4,72.3,60.6,10.0.0.108
2026-05-08T19:51:57.934896,BASEMENT,19.2,66.6,68.9,10.0.0.38
2026-05-08T19:51:58.549756,OUTSIDE,20.1,68.2,42.0,10.0.0.173
2026-05-08T20:21:59.176236,UPSTAIRS,22.3,72.1,61.1,10.0.0.108
2026-05-08T20:21:59.794514,BASEMENT,19.2,66.6,68.9,10.0.0.38
2026-05-08T20:22:00.410484,OUTSIDE,19.4,66.9,48.7,10.0.0.173
2026-05-08T20:52:01.040217,UPSTAIRS,22.1,71.8,60.5,10.0.0.108
2026-05-08T20:52:01.661465,BASEMENT,19.1,66.4,67.9,10.0.0.38
2026-05-08T20:52:02.275791,OUTSIDE,18.7,65.7,49.5,10.0.0.173
